"item_id","title","rating","salesranking","image","productgroup"
"B00006J9TY","Freddy Quinn - Lieder, die das Leben schrieb",4.0,4414,"http://images.amazon.com/images/P/B00006J9TY.03._SCMZZZZZZZ_.jpg","DVD"
"B00006LJ95","But One Day",4.2,35960,"http://images.amazon.com/images/P/B00006LJ95.03._SCMZZZZZZZ_.jpg","Music_CD"
"B00006RJSG","Jamiroquai - Live in Verona",4.2,1733,"http://images.amazon.com/images/P/B00006RJSG.03._SCMZZZZZZZ_.jpg","DVD"
"B00006RYOL","Magic of the Dance",3.2,8600,"http://images.amazon.com/images/P/B00006RYOL.03._SCMZZZZZZZ_.jpg","DVD"
"B00007BHME","Depeche Mode - The Videos 86>98 +",3.8,1532,"http://images.amazon.com/images/P/B00007BHME.03._SCMZZZZZZZ_.jpg","DVD"
"B00007KGAO","In Extremo - In Extremo Live",3.6,6822,"http://images.amazon.com/images/P/B00007KGAO.03._SCMZZZZZZZ_.jpg","DVD"
"B00008OES9","BAP - Viel Passiert",3.6,6821,"http://images.amazon.com/images/P/B00008OES9.03._SCMZZZZZZZ_.jpg","DVD"
"B00008Y4KY","Deep Purple - Perihelion",2.8,2344,"http://images.amazon.com/images/P/B00008Y4KY.03._SCMZZZZZZZ_.jpg","DVD"
"B0000902HD","Bild Karaoke Hits",2.7,1982,"http://images.amazon.com/images/P/B0000902HD.03._SCMZZZZZZZ_.jpg","DVD"
"B000094HLD","Händel - Giulio Cesare / Mijanovic, Kozana, von Otter, Hellekant, B. Mehta, A. Ewing, Les Musiciens du Louvre, Minkowski",3.6,22851,"http://images.amazon.com/images/P/B000094HLD.03._SCMZZZZZZZ_.jpg","Music_CD"
"B00009AHN2","Happy Songs for Happy People",4.2,24829,"http://images.amazon.com/images/P/B00009AHN2.03._SCMZZZZZZZ_.jpg","Music_CD"
"B00009AHNC","On the Rocks",3.0,2382,"http://images.amazon.com/images/P/B00009AHNC.03._SCMZZZZZZZ_.jpg","Music_CD"
"B00009LI6V","Delpy,Julie",3.8,7216,"http://images.amazon.com/images/P/B00009LI6V.03._SCMZZZZZZZ_.jpg","Music_CD"
"B00009YNGB","Oops! I Did It Again",3.8,42114,"","Music_CD"
"B0000A01J6","The Salieri Album",3.4,2686,"http://ec1.images-amazon.com/images/P/B0000A01J6.03._SCMZZZZZZZ_.jpg","Music_CD"
